tag,name
STAT480,Capstone in Statistics and Data Analytics
STAT482,Capstone in Analytics for Business
STAT500,Bridging Statistics
STAT503,Applied Statistics
STAT520,Foundations for Analytics
STAT555,Data Analytics & Machine Learning
STAT609,Decision Techniques and Data Analysis
STAT612,Experimental Design & Analysis
STAT615,Design/Analysis of Experiments
STAT621,Multivariate Systems & Modeling
STAT640,Statistics & Quantitative Analysis
STAT661,Geo-Statistics
STAT710,Advanced Statistical Models 
STAT712,Advanced Quantitative Research Methods
STAT715,Design and Analysis of Experiments in Applied  Sciences
ACCT100,Principles of Financial Accounting
ACCT225,Fundamental of Cost & Management Accounting
ACCT235,Intermediate Accounting I
ACCT245,Intermediate Accounting II 
ACCT311,Islamic Accounting
ACCT315,Principles of Auditing
ACCT324,International Accounting
ACCT334,Governmental Accounting
ACCT351,Cost and Managerial Accounting
ACCT352,Oil and Gas Accounting
ACCT353,Internal Auditing
ACCT413,Advanced Auditing
ACCT422,Accounting Information Systems
ACCT423,Advanced Accounting Information Systems
ACCT451,Advanced Accounting           
ACCT452,Advanced Managerial Accounting
ACCT453,Accounting Theory
ACCT455,Comprehensive Accounting Seminar
ACCT500,Elements of Accounting and Finance
ACCT505,Financial and Corporate Reporting
ACCT510,Management and Cost Accounting
ACCT600,Advanced Financial Accounting
ACCT601,Accounting for Senior Managers
ACCT603,Management Accounting & Financial Analysis
ACCT610,Accounting Analysis & Governance
ACCT611,Accounting for Strategic Decisions
ACCT615,Advanced Management Accounting
ACCT620,"Auditing, Accountability and Assurance Services"
ACCT630,"Financial Accounting Standards, Theory and Policy"
ACCT635,Financial Statements Analysis
ACCT640,Management Control Systems
ACCT645,Seminar on Applied Research in Accounting
ACCT661,Accounting in Special Contexts
ACCT662,Risk-based Internal Auditing
ACCT663,Accounting for Islamic  Financial Institutions
ACCT664,Legal Environment and Taxation
ACCT665,Strategic Management Accounting
ACCT666,Selected Topics in Financial Reporting
FINC240,Principles of Financial Management
FINC261,Financial Institutions & Risk Management
FINC341,Corporate Finance
FINC344,Islamic Finance and Banking
FINC348,International Finance
FINC377,Investment
FINC434,Financial Statement Analysis and Business Valuation
FINC463,Case Studies in Finance 
FINC472,Portfolio Management
FINC474,Selected Topics in Finance
FINC475,Derivatives Securities
FINC610,Financial Management
FINC640,Advanced Corporate Finance
FINC650,International Finance & Banking
FINC660,Investment & Portfolio Management
FINC670,Advanced Risk Management
FINC680,Islamic Finance & Financial Institutions
ECON105,Principles of Microeconomics
ECON110,Principles of Economics
ECON125,Principles of Macroeconomics
ECON211,Theory of Microeconomics
ECON212,Theory of Macroeconomics
ECON215,Money and Banking             
ECON231,Econometrics
ECON236,Project Economics             
ECON237,Environmental and Energy Economics
ECON239,Competition and Business Strategy
ECON333,Economic Development and Institutions
ECON338,International Economics and Globalization 
ECON344,Public Economics
ECON432,Research Methods in Economics
ECON433,Applied Economics of the Middle East
ECON441,Labor and HR Economics         
ECON455,Selected Topics In Economics
ECON541,Economics for Policy Analysis
ECON544,Financial Management and Public  Budgeting 
ECON605,UAE in the Global Business Environment
ECON610,HR & Personnel Economics
ECON651,Managerial Economics
CURR101,Educational Technology
CURR102,Principles of Curriculum & Instruction
CURR103,Early Childhood Development & Learning
CURR211,Planning and Implementation of ECE Curriculum
CURR212,Language Development and Emergent Literacy_AR
CURR218,Methods of Teaching English Language in Preparatory & Secondary Schools (1)
CURR301,Colour Theory
CURR302,Introduction to Art Museum Practices
CURR311,Creative Arts for Young Children
CURR312,Development of Religious and Social Concepts in ECE
CURR314,"Family, Community, Culture and Early Childhood Education"
CURR317,Child Health and Care
CURR319,Science Education for Young Children
CURR320,Math Education for Young Child
CURR324,Children's Play
CURR343,Thinking and Learning in Teaching Mathematics
CURR411,Special Topic in ECE
CURR414,Early Childhood Learning Environments
CURR416,Assessment in Early Childhood Education
CURR417,Art in Public Places
CURR425,Capstone Experience in ECE_AR
CURR465,Student Teaching in ECE
CURR612,Introduction to Educational Research
CURR613,Advanced Technology Application in Education
CURR614,Advanced Educational Research
CURR617,Current Issues in Teaching and Learning
CURR618,Growing up in a Digital World 
CURR619,Advanced Educational Research in ECE 
CURR620,STEM Education in ECE 
CURR621,Advanced Studies in Curriculum and Instruction
CURR622,Class Assessment and Program Evaluation
CURR623,Language and Literacy in Early Childhood 
CURR624,Birth to Four � Caring and Learning Environments
CURR625,"Assessment, Evaluation and Planning in ECE   "
CURR626,Child Guidance: Family; Community; and Care. 
CURR627,Critical Concepts & Issues in Early Childhood (CCIEC)     
CURR628,Early Childhood Pedagogy in Practice (ECPP) 
CURR629,Integrated Curriculum in the Early Years   
CURR630,Advanced Teaching Methods in Mathematics 1
CURR631,Advanced Teaching Methods in Mathematics 2
CURR632,Advanced Teaching Methods in Science 1
CURR633,Advanced Teaching Methods in Science 2
CURR634,Advanced Teaching Methods in English 1
CURR635,Advanced Teaching Methods in English 2
CURR636,Advanced Teaching Methods in Arabic 1 
CURR637,Advanced Teaching Methods in Arabic 2 
CURR638,Advanced Teaching Methods in Social Studies 1
CURR639,Advanced Teaching Methods in Social Studies 2
CURR640,Thesis
CURR650,Master Graduation Project
CURR651,Introduction to Educational Research_AR
CURR654,Current Issues in Teaching and Learning_AR
CURR661,Smart Classrooms
CURR662,Classroom Assessment & Program Evaluation
CURR663,Artificial Intelligence Applications in Education_AR
CURR664,Teaching for Thinking_AR
CURR665,Professional Portfolio Development 1_AR
CURR666,Professional Portfolio Development 2_AR
CURR701,Curriculum Theory and Practice
CURR702,Theory and research on learning and teaching science 
CURR705,Policy Analysis in Curriculum and Instruction
CURR707,Supervision of Curriculum and Instruction
CURR710,Quantitative Research Methods in Education  
CURR712,Advanced Data Analysis in Quantitative Research
CURR713,Qualitative Research Methods in Education 
CURR715,Mixed Methods Research in Education
CURR720,Philosophical and historical perspectives in science education
CURR721,Science teacher education: Theory and practice
CURR722,Current issues in science education
CURR723,Advanced Seminar in Science Education
CURR724,Independent Study in Science Education
CURR730,Advanced studies in science teaching methods
CURR731,Learning and cognition in science education
CURR732,Assessment in science education
CURR733,Integrating Technology in learning and\xa0Teaching Science
CURR734,Special Topics in Science Education
CURR740,Theory and Research in Mathematical Thinking and Learning
CURR741,Advanced Study of Students� Mathematical Understanding
CURR742,Theory and Research in Mathematics Teacher Education
CURR743,Integration of Technology into Mathematics Curriculum and Instruction
CURR744,Independent Study in Mathematics Education 
CURR750,Communication and Representation in Mathematics
CURR751,Clinical Interviewing and Assessment in Mathematics Education
CURR753,Mathematics Curriculum Development
CURR754,Historical Development of Mathematical Ideas
CURR755,Mathematical Problem Solving
CURR756,Advanced Seminar in Mathematics Education
CURR760,"Language, Literacy and Culture"
CURR761,Language and Literacy Pedagogy
CURR762,First and Second Language Development and Assessment
CURR763,Social and Psychological Aspects of Learning Language
CURR764,Discourse Analysis and Language Learning
CURR765,"Bilingualism, Biliteracy and Multiliteracy Education"
CURR770,Research Methods & Analysis in Language and Literacy Education
CURR771,Special Topics in Language Education Teaching
CURR772,Development & Evaluation of Language and Literacy Programs
CURR773,Seminar in Language and Literacy Education Teaching and learning
CURR774,Integrating Technology into Language and Literacy Instructions 
CURR800,Comprehensive Examination
CURR810,Research Proposal
CURR900,Dissertation Research
CURR910,Dissertation Defense
FOED101,Learning Communities
FOED102,Professional Ethics in Education
FOED350,Educational Research
FOED615,International Perspective on Educational Leadership
FOED616,Leading Schools and Communities
FOED619,Leadership of Change in Education Organizations
FOED621,Personnel Administration and Staff Development
FOED622,School Finance and Resource Management
FOED623,Professional and Cultural Issues in Education
FOED624,Educational Supervision
FOED625,School Leadership
FOED640,Thesis
FOED650,Master Graduation Project
FOED652,Leading Schools & Communities_AR
FOED655,International Perspectives on Educational Leadership
FOED661,Management of Distinguished Institutions_AR
FOED662,Leading School Change_AR
FOED663,Managing Student Services
FOED664,Evaluation & Modern Supervision
FOED665,Professional Portfolio Development 1_AR
FOED666,Professional Portfolio Development 2_AR
FOED701,Policy studies in Education
FOED702,Organizational theory in educational leadership
FOED703,Critical Issues in contemporary Educational Leadership
FOED704,Philosophy of Education
FOED720,Comparative and International Education
FOED721,Sociology of Education
FOED722,Leading School Change
FOED723,Leadership & Policy in Adult Education
FOED724, Ethics of Educational Leadership
FOED733,Independent study
FOED800,Comprehensive Examination
FOED810,Research Proposal
FOED900,Dissertation Research
FOED910,Dissertation Defense
PHED200,Foundations of Health and Physical Education
PHED201,Physical Fitness and Wellness
PHED202,Invasion Games
PHED203,Swimming
PHED204,Human Anatomy and Physiology
PHED205,Adapted Physical Education
PHED206,School and Community Health
PHED207,Exercise Physiology
PHED208,Motor Learning
PHED209,Track and Field
PHED302,Physical Fitness Conditioning
PHED305,Health and Physical Education Curriculum
PHED306,Personal Health and Wellness
PHED308,CPR and First Aid
PHED309,Individual and Dual Sports
PHED310,Health and PE Teaching Methods for Elementary Education
PHED311,Health & Movement
PHED312,Evaluation and Assessment in Health and Physical Education
PHED314,Biomechanics
PHED315,Child and Health Development
PHED400,Sport Management
PHED401,Health and PE Teaching Methods for Secondary Education
PHED402,Exercise Psychology
PHED403,Sport Sociology
PHED404,Techniques of Coaching
PHED405,Martial Arts
PHED406,Aerobic Fitness
PHED407,"Health, Physical Activity, and Nutrition"
PHED408,Capstone Experiences in Health and Physical Education
PHED409,Student Teaching in Health and Physical Education
SPED101,Education of Exceptional Children
SPED102,Diversity and Student Learning
SPED210,Assessment in Special Education
SPED211,Technology Applications in Special Education
SPED220,Classroom Behavior Management
SPED221,"Collaboration (Home, School & Community)"
SPED222,Language & Communication Disorders
SPED312,Individuals with Mild/Moderate Disabilities
SPED313,Early Intervention in Special Education
SPED314,Differentiated instruction
SPED315,Individuals with Sensory Impairments
SPED321,Gifted and Talented
SPED322,Teaching Students with Visual Impairments
SPED324,Functional Curriculum for Students with Sever Disabilities
SPED326,Educating Gifted and Talented Students in the Regular Classroom
SPED330,Individuals with Severe Disabilities
SPED331,Curriculum & Materials for the Gifted
SPED332,Introduction to Rehabilitation
SPED346,Communication Disorders in School Age Children and Adolescents
SPED361,Teaching Children with Mild/Moderate Disabilities
SPED412,Teaching Students with Hearing Impairments
SPED413,Teaching Students with Sever Disabilities
SPED415,Education Diagnosis/ Remediation of Literacy/Math Disabilities
SPED416,Research Seminar for Gifted & Talented
SPED500,Practical Experiences in Special Education_AR
SPED541,Capstone Experience in SPED/Mild/Mod Disabilities_AR
SPED542,Capston Experience in SPED/Sensory Impairments_AR
SPED543,Capstone Experience in SPED/Sever Disabilities_AR
SPED544,Capstone Experience in SPED/Gifted & Talented_AR
SPED561,Student Teaching in SPED/Mild and Moderate Disabilities_AR
SPED562,Student Teaching in SPED/Sensory Impairments_AR
SPED563,Student Teaching in Sever Disabilities_AR
SPED564,Student Teaching in SPED/Gifted & Talented_AR
SPED618,Human Development and Individual Differences
SPED621,Advanced Assessment in Special Education
SPED622,Characteristics and Teaching Techniques for Individuals with mild/moderate disabilities
SPED623,Advanced Collaboration in Special Education
SPED624,Inclusive Learning Environment
SPED625,Curriculum Modifications for Exceptional Individuals
SPED640,Thesis
SPED650,Master Graduation Project
SPED653,Human Development & Individual Differences
SPED656,Inclusive Learning Environment_AR
SPED701,Advance Application of Assistive Technology in Special Education 
SPED704,Teaching Students from Culturally and Linguistically Divers Background
SPED720, Education and Development of Gifted Learners
SPED721,Language and Literacy Impairment
SPED722,Advanced Topics in Special Education
SPED723,Independent Study in Special Education
SPED724, Developmental Disabilities
SPED725, Internship in Special Education 
SPED732,Assessment and Instruction for Students with Mild/Moderate Disabilities
SPED800,Comprehensive Examination
SPED810,Research Proposal
SPED900,Dissertation Research
SPED910,Dissertation Defense
ARCH302,Introduction to Architectural Engineering 
ARCH313,Analysis and Design Principles for Building Structures
ARCH316,Building Construction Systems
ARCH320,Introductory Building Design Studio
ARCH326,Building Construction Methods and Equipment
ARCH335,Intermediate Building Design Studio
ARCH341,Building Electrical Circuits
ARCH342,Building Acoustics and Illumination
ARCH345,Building Engineering Systems
ARCH366,History and Theories of Contemporary Architecture 
ARCH422,Structural Design for Buildings
ARCH425,Advanced Building Construction Systems
ARCH430,Integrated Building Design Studio
ARCH433,Environmental Systems & Control
ARCH440,Construction Project Management
ARCH450,Construction Project Planning and Control
ARCH495,Professional Practical Training
ARCH501,Advanced Building Design Studio
ARCH503,Building Construction Detailing
ARCH509,Modeling and Simulation
ARCH526,Specification and Quantity Surveying
ARCH530,Selected Topics In Architecture Engineering
ARCH532,Sustainable Architecture & Urban Environments in Hot Climate 
ARCH542,Housing and Urban Design
ARCH551,Urban Planning & Infrastructure
ARCH562,Construction Contracts
ARCH585,Design and Critical Thinking in Architectural Engineering
ARCH590,Capstone Engineering Design Project
ARCH600,Research Methods
ARCH601,Graduate Research Seminar
ARCH602,Sustainable Urbanism
ARCH603,High Performance Buildings
ARCH608,Design Management for the Built Environment
ARCH614,Sustainable Community Develop
ARCH616,Impact Assessment for the Built Environment
ARCH617,Selected Topics in Architectural Engineering
ARCH623,Integrated Construction Tools and Processes 
ARCH631,Advanced Illumination and Daylighting
ARCH632,Climate Research in Build Energy Efficiency
ARCH633,Water Efficiency in the Built Environment
ARCH634,Building Science Experiment Research Lab
ARCH635,Fenestration Analysis & Design
ARCH636,Building Ventilation
ARCH698,Research Based Design Project
ARCH699,Thesis
ARCH710,Advanced Qualitative Research Methods 
ARCH711,Behavior and Building Performance
ARCH712,Advanced Critical Thinking in the Built Environment
ARCH713,Planning for Urban Resilience
ARCH714,Housing and Urbanization
ARCH715,Energy Optimization in Built Environment Design
ARCH716,Advanced Intelligent Built Environment Systems
ARCH734,Directed Studies in Architectural Engineering
ARCH735,Advanced Topics in Architectural Engineering I
ARCH736,Advanced Topics in Architectural Engineering II
ARCH800,Comprehensive Exam
ARCH810,Prospectus Exam
ARCH900,Dissertation Doctoral Research
ARCH910,Dissertation Defense
CHME300,Introduction to Chemical Engineering
CHME310,Computer Applications in Chemical Engineering
CHME322,Chemical Engineering Thermodynamics
CHME330,Chemical Engineering Fluid Mechanics
CHME357,Fundamentals of Biochemical Engineering
CHME390,Engineering and Strength of Materials
CHME411,Reactor Design
CHME413,Heat Transfer
CHME415,Fluid Mechanics and Heat Transfer lab
CHME417,Mass Transfer and Reactor Design Lab
CHME421,Mass Transfer
CHME422,Unit Operation 
CHME433,Water Desalination            
CHME441,Industrial & Wastewater Treatment
CHME442,Corrosion
CHME444,Renewable Energy Sources
CHME452,Biochemical Treatment
CHME453,Biofuels Technology
CHME454,Biochemical Separation
CHME457,Fundamentals of Biochemical Engineering
CHME461,Natural Gas Processing        
CHME462,Petroleum Refining Engineering
CHME463,Petrochemical Technology
CHME464,Polymer Engineering
CHME495,Industrial Training
CHME506,Process Modeling & Simulation
CHME508,Process Control               
CHME510,Process and Plant Design
CHME517,Mass Transfer Operations
CHME528,Unit Operation and Process Control Lab
CHME570,Special Topics in Chemical Engineering
CHME575,Independent Studies in Chemical Engineering
CHME585,Design and Critical Thinking in Chemical Engineering
CHME590,Capstone Engineering Design Project
CHME611,Transport Phenomena
CHME612,Advanced Reaction Engineering
CHME621,Advanced Mass Transfer
CHME622,Biochemical Engineering
CHME623,Advanced Polymer Engineering
CHME624,Advanced Process Dynamics & Controls
CHME625,Selected Topics in Chemical Engineering
CHME626,Waste Management
CHME710,Advanced Modeling and Mathematics for Chemical and Petroleum Engineering 
CHME720,Rheology and Rheometry
CHME731,Nanoscience and Nanotechnology
CHME735,Advanced Topics in Chemical Engineering I
CHME736,Advanced Topics in Chemical Engineering II
CHME742,Advanced Catalysis
CHME750,Enzyme Technology
CHME755,Graduate PhD Seminar
CHME760,Advanced Membrane Technology
CHME800,Comprehensive Exam
CHME810,Prospectus Exam
CHME900,Dissertation Doctoral Research
CHME910,Dissertation Defense
CPSE600,Graduate Seminar
CPSE610,Fluid Phase Equilibria
CPSE624,Well Stimulation
CPSE695,Technical Project
CPSE699,Thesis Research
PETE290,Introduction to Petroleum Engineering
PETE305,Reservoir Rock & Fluid Properties
PETE308,Drilling Engineering I
PETE315,Reservoir Rock & Fluid Properties lab
PETE320,Reservoir Mechanics
PETE362,Data Analysis in Petroleum Engineering
PETE403,Well Logging
PETE407,Drilling Engineering ll
PETE409,Natural Gas Engineering
PETE410,Independent Studies
PETE413,Applied Reservoir Geology
PETE419,Well Performance
PETE422,Reservoir Simulation
PETE424,Safety & Environment Impact
PETE443,Transport & Storage of Petroleum
PETE495,Industrial Training
PETE507,Well Testing                  
PETE512,Petroleum Production Operations
PETE519,Secondary Recovery Methods    
PETE520,Fluid Flow in Porous Media Lab
PETE526,Separation & Treatment Petrol Fluid
PETE542,Petroleum Property Evaluation 
PETE547,Applied Reservoir Simulation
PETE557,Enhanced Oil Recovery         
PETE570,Special Topics in Petroleum Engineering
PETE585,Design and Critical Thinking in Petroleum Engineering
PETE590,Capstone Engineering Design Project
PETE608,Advanced Drilling Engineering
PETE612,Advanced Natural Gas Engineering
PETE615,Advanced Reservoir Engineering
PETE619,Advanced Petroleum Production Engineering
PETE621,Non-Thermal EOR Methods
PETE625,Selected Topics in Petroleum Engineering
PETE626,Advanced formation evaluation 
PETE627,Advanced Reservoir Simulation 
PETE735,Advanced Topics in Petroleum Engineering I
PETE736,Advanced Topics in Petroleum Engineering II
PETE800,Comprehensive Exam
PETE810,Prospectus Exam
PETE900,Dissertation Doctoral Research
PETE910,Dissertation Defense
CIVL201,Materials for Engineering Technology
CIVL220,Computer Aided Drawing (CIVL)
CIVL240,Statics
CIVL270,Introduction to Environmental Engineering
CIVL310,Structural Analysis
CIVL330,Transportation Engineering
CIVL335,Surveying
CIVL340,Soil Mechanics
CIVL345,Fluid Mechanics for Civil and Architectural Engineering
CIVL358,Surveying for Architectural Engineering
CIVL360,Concrete Technology
CIVL365,Reinforced Concrete Design I
CIVL375,Water & Wastewater Technology
CIVL400,Water Resources
CIVL412,Reinforced Concrete Design II
CIVL417,Structural Steel Design
CIVL433,Highway Engineering
CIVL442,Foundation Engineering
CIVL445,Construction Management
CIVL495,Industrial Training
CIVL510,Special Topics in Structural Engineering
CIVL515,Advanced Concrete Technology  
CIVL517,Matrix Structural Analysis
CIVL520,Special Topics in  Water Resources  & Environmental Engineering
CIVL522,Advanced Environmental Engineering
CIVL524,Geo-environmental Engineering
CIVL525,Hydrology                     
CIVL530,Special Topics in Transportation Engineering
CIVL531,Topographic Surveying         
CIVL534,Computer Aided Mapping        
CIVL538,Advanced Highway Engineering  
CIVL539,Traffic Engineering
CIVL540,Special Topics in Construction Management
CIVL541,Special Topics in Soil Mechanics & Foundation Engineering
CIVL547,Advanced Construction Management
CIVL548,Advanced Geotechnical Engineering
CIVL552,Advanced Steel Design
CIVL585,Design and Critical Thinking in Civil Engineering
CIVL590,Capstone Engineering Design Project
CIVL600,Graduate Seminar
CIVL602,Environmental Impact Assessment Principles & Applications
CIVL605,Experimental Methods in Civil Engineering
CIVL610,Advanced Mechanics of Materials
CIVL611,Structural Dynamics
CIVL612,Prestressed Concrete Structures
CIVL614,Advanced Steel Design
CIVL615,Bridge Engineering
CIVL616,Rehabilitation of Structures
CIVL618,Construction Equipment & Methods
CIVL620,Construction Cost Estimating
CIVL621,Advanced Foundation Design
CIVL622,Stability of Earth Supported Structures
CIVL623,Foundation Dynamics
CIVL624,Theory & Design of Pavement Structures
CIVL625,Pavement Management Systems
CIVL626,Advanced Traffic Engineering & Management
CIVL627,Design of Transportation Systems
CIVL628,Map Projections and Geometric Geodesy
CIVL629,Digital Terrain Modeling & Applications
CIVL630,Special Topics in Civil Engineering
CIVL631,Directed Studies in Civil Engineering
CIVL650,Research Thesis
CIVL732,Sustainable Civil Infrastructure Engineering
CIVL734,Earthquake Engineering
CIVL735,Advanced Topics in Civil Engineering I
CIVL736,Advanced Topics in Civil Engineering II
CIVL737,Design of Concrete Structures with Fiber Reinforced Polymers
CIVL738,Tunneling and Deep Excavation
CIVL739,Contaminant Subsurface Hydrology
CIVL742,Sustainable Water Treatment Systems
CIVL743,Urban Traffic Control Systems
CIVL746,Transport Economics and Transit Systems Operation Management
CIVL751,Engineering Risk Assessment and Management
CIVL800,Comprehensive Exam
CIVL810,Prospectus Exam
CIVL900,Dissertation Doctoral Research
CIVL910,Dissertation Defense
WATR601,Fluid Mechanics for Non Eng.
WATR602,Water Resources Management
WATR603,Surface Water Hydrology
WATR605,Introduction to Water Science and Technology
WATR606,Water Quality
WATR608,Graduate Seminar
WATR611,Hydraulics of Closed Conduits
WATR615,Groundwater Hydrology
WATR616,Advanced Hydrochemistry
WATR617,Water and Wastewater Treatment
WATR618,Introduction to Water Desalination
WATR620,Membrane Desalination
WATR622,Coastal Hydrodynamics
WATR631,Special Topics in Water Resources
WATR632,Directed Studies in Water Resources
WATR640,Research Thesis
WATR695,Technical Project
WATR735,Advanced Topics in Water Resources I
WATR736,Advanced Topics in Water Resources II
WATR800,Comprehensive Exam
WATR810,Prospectus Exam
WATR900,Dissertation Doctoral Research
WATR910,Dissertation Defense
ECOM320,Probability and Random Processes
ECOM360,Fundamentals of Communication Systems
ECOM402,Communication Systems Lab
ECOM412,Electromagnetic Waves
ECOM422,Digital Communication Systems
ECOM432,Data Communications & Networks
ECOM442,Data Communications & Networks Lab
ECOM451,Digital Signal Processing
ECOM461,Digital Signal Processing Lab
ECOM532,Antenna Engineering
ECOM542,Wireless Communications
ECOM561,Information Theory & Coding
ECOM562,Satellite Communications Systems
ECOM571,Communication Circuits
ECOM580,Special Topics in Communications
ELEC305,Electric Circuits I
ELEC310,Electric Circuits I lab
ELEC315,Fundamentals of Microelec Devices
ELEC320,Electric Circuits II
ELEC325,Engineering Electromagnetics
ELEC335,Digital Logic Design
ELEC345,Digital Logic Design Lab
ELEC360,Signals & Systems
ELEC370,Electronic Circuits
ELEC372,Electro-Mechanical Devices
ELEC375,Electronic Circuits Lab
ELEC380,Analytical Methods for Electrical Engineering
ELEC411,Electric Energy Conversion
ELEC431,Control Systems
ELEC433,Instrument & Control Lab
ELEC451,Microprocessors
ELEC461,Microprocessors Lab
ELEC462,Computer Architecture & Organization
ELEC472,Power Systems
ELEC481,Electric Energy Conversion Lab
ELEC495,Industrial Training
ELEC512,Digital Electronics
ELEC521,Advanced Control Systems
ELEC522,Industrial Automation
ELEC530,Special Topics in Power & Control Engineering
ELEC531,Power Systems Analysis
ELEC533,Very Large Scale Integrated Circuits (VLSI)
ELEC534,Power System Distribution
ELEC551,Digital Image Processing
ELEC561,Java Programming Applications
ELEC562,Embedded System Design
ELEC570,Special Topics Computer Engineering
ELEC580,Special Topics in Electronic Engineering
ELEC582,Analog Integrated Circuit Design
ELEC585,Design and Critical Thinking in Electrical Engineering
ELEC590,Capstone Engineering Design Project
ELEC592,Power Electronics
ELEC600,Numerical Methods in Engineering
ELEC602,Linear Systems
ELEC604,Advanced Digital Signal Processing
ELEC612,Communications Networks
ELEC613,Wireless Communications
ELEC615,Adaptive Signal Processing
ELEC617,Antenna Design & Applications
ELEC619,Advanced Topics in Communication Engineering
ELEC620,Analytical Techniques in Engineering
ELEC622,Power Systems Protection
ELEC625,Power Systems Quality
ELEC629,Advanced Topics in Power Engineering
ELEC637,Sensors Design and Applications
ELEC639,Advanced Topics in Electrical Engineering
ELEC641,Contemporary Digital Systems
ELEC644,Artificial Neural Networks
ELEC646,Computational Vision
ELEC649,Advanced Topics in Computer Engineering
ELEC652,Nonlinear Control
ELEC656,Optimal Control
ELEC659,Advanced Topics in Control Systems
ELEC691,Graduate Seminar I
ELEC693,Master's Research Thesis
ELEC694,Research / Design Paper
ELEC709,Machine Learning in Engineering
ELEC711,Micro and Nano Systems
ELEC712,Advanced Circuits and Systems
ELEC731,Power System Planning
ELEC733,Multivariable Feedback Control
ELEC735,Advanced Topics in Electrical Eng I
ELEC736,Advanced Topics in Electrical Eng II
ELEC742,Detection and Estimation Theory
ELEC743,Information Transmission Systems 
ELEC800,Comprehensive Exam
ELEC810,Prospectus Exam
ELEC900,Dissertation Doctoral Research
ELEC910,Dissertation Defense
GENG215,Engineering Ethics
GENG220,Engineering Thermodynamics
GENG230,Computer Programming
GENG315,Engineering Economics
GENG701,PhD Research Seminar 
GENG702,Research Methods
GENG710,Optimization Methods for Engineering 
